TIC ID,Linked TIC ID,TOI ID,t_zero_1,width_1,depth_1,t_zero_2,width_2,depth_2,RA (decimal deg),Dec (decimal deg),Sector of first transit,Sector of second transit,T0 (BTJD),T0_uncertainty (days),Period (days),Period_uncertainty (days),Duration (hrs),Duration_uncertainty (hrs),Depth (ppm),Depth_uncertainty (ppm),R_planet (R_Earth),Active_Aliases,NGTS data? /comment,Recent TESS sectors -check LC,Upcoming TESS sectors,RV - Solène notes,Published?,Simbad,Papers
7145074,7145074,-,2459111.52,0.2271715,0.0067130723,2460185.155,0.18373427,0.00674057,4.513184274,-43.40958154,29,68,2111.52,0.00046,1073.635,0.00069,0.22717,0.02871,6713,49.66498,20.0159,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46",yes,96 - ANOTHER TRANSIT !!,"103,104,105,106","WINE follow-up (FEROS 18, HARPS 31)",,Star,"Kordopatis+2013 [2013AJ....146..134K],Munari+2014 [2014AJ....148...81M],Kunder+2017 [2017AJ....153...75K],Steinmetz+2020 [2020AJ....160...83S]"
20904104,20904104,-,2458390.178,0.30561772,0.0009678006,2459105.339,0.15087725,0.0013742447,7.413684822,-19.36625377,3,29,1390.178,0.00078,715.161,0.00131,0.30562,0.05199,968,7.80773,2.41271,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43",yes,-,-,3 CORALIE vetting passed. if period is solved we could continue the RV follow-up,,Star,"Kordopatis+2013 [2013AJ....146..134K],Kunder+2017 [2017AJ....153...75K],Ruiz-Dern+2018 [2018A&A...609A.116R],Ratzenböck+2020 [2020A&A...639A..64R],Steinmetz+2020 [2020AJ....160...83S]"
22317640,22317640,-,2458589.378,0.1718912471,0.01121437078,2460064.808,0.1946916101,0.01201410494,183.9093228,-47.19813113,10,64,1589.378,0.00041,1475.43,0.00054,0.17189,0.05483,11214,86.21509,12.03593,"1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47",yes,-,"99,100,101,112,113","WINE (FEROS 5, HARPS 13 from 2022)",,Star,Malik+2025 [2025AJ....170...39M]
32179255,32179255,-,2458345.879,0.09619184,0.0038824081,2459068.458,0.1152742,0.004625479,332.0396381,-29.60929867,1,28,1345.879,0.00004,722.579,0.00025,0.09619,0.00293,3882,14.16812,11.56898,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,16,18,20,22,23,24,25,26",yes,95 - nothing there,106,SB1 from Gaia,,Spectroscopic Binary,Collaboration+2023 [2023A&A...674A..34G]
42428568,42428568,-,2458475.69,0.39174843,0.0052972436,2459224.322,0.3060124,0.0048009553,96.29346696,-3.766571869,6,33,1475.69,0.00056,748.632,0.00116,0.39175,0.05482,5297,41.07723,18.46309,"1,2,3,4,5,6,7,8,9,10,11,12,13,17,23,24,25,26",yes,-,"110,111","CORALIE (2): RV difference is 360 m/s in one week the RV error is about 80 m/s, likely binary star",,Star,Buder+2021 [2021MNRAS.506..150B]
52195587,52195587,-,2458350.278,0.3428814554,0.00519340558,2459107.612,0.3406249713,0.004926157617,19.24833899,-66.16364105,1,29,1350.278,0.00027,757.334,0.00088,0.34288,0.01049,5193,19.69963,9.70964,"1,2,3,4,5,6,8,10,11,12",yes,"95,96 - maybe in 95? Sam check?",-,"WINE (FEROS 21), we have 9 CORALIE",,,
61760996,61760996,-,2458576.117,0.52960986,0.0072689652,2459331.005,0.5010789,0.008299351,177.0907889,-47.02068462,10,37,1576.117,0.00092,754.888,0.00132,0.52961,0.10064,7269,38.53774,12.69114,"1,2,3,4,5,6,7,8,12,13,14,15,16,24",yes,-,"100,101,111,112,113,114","no RVs, large centroid shift during the transit > FP?",,,
67599025,67599025,-,2458404.028,0.12480073,0.0076516867,2459138.825,0.1358673,0.0076302686,17.69268173,-31.50549356,3,30,1404.028,0.00026,734.797,0.00034,0.1248,0.01978,7652,25.64378,6.86574,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31",yes,-,"104,106,107",WINE (FEROS 35 from 2020 to 2023),,,
71028120,71028120,-,2458445.866,0.14199898,0.001283884,2459189.955,0.20965792,0.0010778109,66.12741053,-11.98354302,5,32,1445.866,0.00031,744.089,0.00077,0.142,0.01092,1284,4.89114,4.59889,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28",yes,-,"98,109",,,High Proper Motion Star,"Siebert+2011 [2011AJ....141..187S],Boeche+2011 [2011AJ....142..193B],Coşkunoǧlu+2012 [2012MNRAS.419.2844C],Kordopatis+2013 [2013AJ....146..134K],Francis+2013 [2013MNRAS.436.1343F],Munari+2014 [2014AJ....148...81M],Kunder+2017 [2017AJ....153...75K],Steinmetz+2020 [2020AJ....160...83S],Järvinen+2025 [2025A&A...698A..93J]"
71272316,71272316,-,2459070.725,0.08676289,0.0063369274,2460175.967,0.105793186,0.0063734055,330.1327946,-44.71586765,28,68,2070.725,0.00034,1105.242,0.00069,0.08676,0.04101,6337,70.02135,8.5827,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,78",yes,-,"105,106",,,Star,
71316629,71316629,-,2458344.048,0.1135498104,0.02061273506,2459077.304,0.09026734457,0.02676110495,330.8381029,-43.74196292,1,28,1344.048,0.00023,733.256,0.00028,0.11355,0.04458,20613,123.53434,17.21225,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26",yes,95 - much shallower transit?,"105,106",,,,
77465954,77465954,-,2458630.185,0.24637261,0.00782156,2459337.088,0.11607017,0.0039209523,238.938715,-29.78659702,12,37,1630.185,0.00038,706.903,0.00046,0.24637,0.0443,7822,42.47245,13.97556,,no,91 - nothing there,"115,116",,,,
107113345,107113345,-,2458576.334,0.1923165369,0.00227545153,2459317.299,0.09514047402,0.002114618932,183.0341034,-32.66283108,10,37,1576.334,0.00042,740.965,0.00047,0.19232,0.02782,2275,15.66661,6.68057,,yes,90 - another transit?,"101,114",,,Star,"Kordopatis+2013 [2013AJ....146..134K],Kunder+2017 [2017AJ....153...75K],Steinmetz+2020 [2020AJ....160...83S]"
118339710,118339710,-,2458525.646,0.3978936449,0.004337083823,2459249.547,0.3824385339,0.003083043331,129.5720399,-23.55022929,8,34,1525.646,0.00028,723.901,0.00043,0.39789,0.04339,4337,13.3605,11.11819,,yes,-,"109,110,111,112",,,Star,"Buder+2018 [2018MNRAS.478.4513B],Buder+2021 [2021MNRAS.506..150B],Clark+2022 [2022MNRAS.510.2041C],Perdelwitz+2024 [2024A&A...683A.125P],Eberhardt+2025 [2025AJ....169..298E]"
121077168,121077168,-,2458429.001,0.2180304297,0.02316979719,2459155.248,0.2087852714,0.02262983534,56.50896625,-19.0509837,4,31,1429.001,0.00022,726.247,0.00048,0.21803,0.01958,23170,133.00851,13.82116,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28",yes,-,"106,107,108,109",,,,
126565211,126565211,-,2458338.365,0.2209430188,0.008478927499,2459048.003,0.2448241716,0.01260628106,314.2546606,-42.99495553,1,27,1338.365,0.00018,709.638,0.0012,0.22094,0.01688,8479,28.53139,10.47123,,yes,95 - much shallower transit?,105,,,Star,
140215502,140215502,-,2458460.533,0.2423658,0.0031628609,2459194.446,0.29431546,0.0049333572,85.15071063,-34.76637948,5,32,1460.533,0.00037,733.913,0.00049,0.24237,0.01868,3163,11.56697,5.23728,"1,2,3,4,5,6,7,8,9,10,11,12,13",yes,-,"107,108,109",,,Star,Ruiz-Dern+2018 [2018A&A...609A.116R]
140750416,140750416,-,2458504.801,0.2340945,0.009284496,2459245.403,0.1492758,0.009329319,116.4381828,-23.14302456,7,34,1504.801,0.00055,740.602,0.00063,0.23409,0.05928,9284,70.42339,13.82454,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29",yes,-,"109,110,111",,,,
145006304,145006304,-,2458579.505,0.1977363163,0.002112929206,2459318.245,0.1997372003,0.002108434665,193.3344834,-39.73470857,10,37,1579.505,0.0088,738.74,0.00898,0.19774,0.42617,2113,138.41278,5.52152,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29",yes,-,"101,114",,,Star,
156716001,156716001,-,2458485.53,0.2463299,0.002933383,2459224.515,0.3473908,0.0034511883,103.1063117,-39.68756621,6,33,1485.53,0.00002,738.985,0.00076,0.24633,0.04692,2933,10.88644,5.69356,,yes,-,-,,,Star,Ruiz-Dern+2018 [2018A&A...609A.116R]
159490807,159490807,-,2458606.232,0.17360778,0.0050697923,2459355.935,0.21644236,0.005161921,220.234928,-39.37565873,11,38,1606.232,0.00025,749.703,0.00037,0.17361,0.02494,5070,23.57875,12.0109,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,27,28",yes,-,102,,,Star,
161169240,161169240,-,2458328.261,0.31732032,0.0115816,2459083.315,0.32791767,0.010320027,339.3573232,-53.31877722,1,28,1328.261,0.0003,755.054,0.00059,0.31732,0.02007,11582,34.02048,12.89171,"1,2,3,4,5,6,8,10,11,12,13,15,17,22,23,24",yes,95 - nothing there,"102,103,104,105",,,High Proper Motion Star,
176518126,176518126,-,2458489.064,0.21565348,0.0038335323,2459219.538,0.2784637,0.0040766397,87.18319774,-0.495025719,6,33,1489.064,0.00034,730.474,0.00052,0.21565,0.03888,3834,21.67944,8.37322,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28",yes,-,"110,111",,,Star,"Nesterov+1995 [1995A&AS..110..367N],Bourgés+2014 [2014ASPC..485..223B],Cruzalèbes+2019 [2019MNRAS.490.3158C]"
193096383,193096383,-,2458559.173,0.207792,0.006996763,2459289.971,0.183212,0.006071026134,156.8737519,-27.51557331,9,36,1559.173,0.00033,730.798,0.0006,0.20779,0.02042,6997,46.29882,10.10553,,yes,-,"99,100,110,113",,,,
193318850,193318850,-,2458553.77,0.158763,0.006477610867,2459292.513,0.172796,0.006962115977,177.7301586,-16.74172318,9,36,1553.77,0.00082,738.743,0.00083,0.15876,0.04192,6478,49.94292,7.43537,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27",yes,90 - two transits in here?,114,,,,
231637303,231637303,-,2459038.139,0.52736354,0.0057907104,2460142.46,0.51818657,0.0053602853,317.9875645,-59.45415212,27,67,2038.139,0.00027,1104.321,0.00074,0.52736,0.01536,5791,16.77361,9.3648,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,19,21,22,24,25,27,28,30,31,33,35,36,38,39,41,42,45",yes,"94,95 - TRANSIT IN 94","101,102,102,104,105",,,Star,
235058563,235058563,-,2458416.607,0.44219273,0.0073472857,2459216.404,0.3001215,0.00610137,83.51699117,-50.1215705,4,33,1416.607,0.00035,799.797,0.00145,0.44219,0.02857,7347,20.05812,12.39792,"1,2,3,4,5,7,8,9,10",yes,-,-,,,,
242241304,242241304,-,2458623.07,0.12602888,0.005945146,2459345.375,0.14784259,0.0058780513,211.5850942,-43.04474367,11,38,1623.07,0.00026,722.305,0.00049,0.12603,0.0197,5945,40.78035,8.72349,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27",yes,-,102,,,Star,
251057075,251057075,-,2458426.351,0.15875384,0.0023933053,2459154.019,0.15350468,0.0024456978,36.17506655,-5.854005234,4,31,1426.351,0.00048,727.668,0.00088,0.15875,0.03772,2393,21.25673,3.43787,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45",yes,-,108,,,High Proper Motion Star,Ruiz-Dern+2018 [2018A&A...609A.116R]
268534931,268534931,-,2458398.295,0.3484397,0.0078270435,2459139.095,0.36695907,0.0070996284,15.12617598,-23.17953211,3,30,1398.295,0.0003,740.8,0.00073,0.34844,0.02229,7827,21.02813,6.82235,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31",yes,-,"101,102",,,,
275878706,275878706,-,2458621.095,0.10336319,0.0057638288,2459341.787,0.15605004,0.0052545867,207.9018438,-44.31442788,11,37,1621.095,0.00035,720.692,0.00076,0.10336,0.02014,5764,51.76461,7.26528,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26",yes,-,99,,,,
287204963,287204963,-,2458402.939,0.18690486,0.015139222,2459132.332,0.2081387,0.009310405,30.28721788,-11.88352065,3,30,1402.939,0.00018,729.393,0.00084,0.1869,0.00661,15139,37.66996,11.91556,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42",yes,-,"97,108",,,,
290165539,290165539,-,2458332.756,0.4755103224,0.01447940776,2460170.781,0.4473505851,0.01330174449,319.8521058,-25.59712272,1,68,1332.756,0.00042,1838.025,0.00095,0.47551,0.02841,14479,39.67346,19.11895,"1,2,3,4,5,6,7,8,9,10,11,12,13,15,16,18,19,21,24,25,30,33,35,36,38,39,41,50,53,57",yes,"92,95 - ANOTHER TRANSIT in 95",116,,,,
290512115,290512115,-,2459965.169,0.1301963543,0.003116354089,2460711.17,0.09729682093,0.003709325783,139.327826,2.179180459,60,87,2965.169,0.00041,746.001,0.04765,0.1302,0.03961,3116,47.49765,9.21858,"1,2,3,4,5,6,7,8,9,10,13,17,18,19,20,21,25,26",no,-,99,,,,
292719109,292719109,-,2458499.71,0.330255,0.0031343102,2459222.323,0.37117168,0.002977689,107.4159565,3.567556676,7,33,1499.71,0.00014,722.613,0.00051,0.33026,0.02125,3134,4.22187,11.84287,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27",yes,-,111,,,Star,
