TIC ID,Linked TIC ID,TOI ID,t_zero_1,width_1,depth_1,t_zero_2,width_2,depth_2,RA (decimal deg),Dec (decimal deg),Sector of first transit,Sector of second transit,T0 (BTJD),T0_uncertainty (days),Period (days),Period_uncertainty (days),Duration (hrs),Duration_uncertainty (hrs),Depth (ppm),Depth_uncertainty (ppm),R_planet (R_Earth),Active_Aliases,NGTS data? /comment,Recent TESS sectors -check LC,Upcoming TESS sectors,RV - Solène notes,Published?,Simbad,Papers
296737508,296737508,-,2458538.004,0.217340398,0.001661106138,2460005.984,0.2143287021,0.001574769627,142.1792643,-14.68642981,8,62,1538.004,0.00007,1467.98,0.0003,0.21734,0.00411,1661,5.31669,5.87414,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,36,38,40,42,44,46,48,50,52",yes,-,"99,112,113",,,Star,"Cannon+1993 [1993yCat.3135....0C],Bourgés+2014 [2014ASPC..485..223B],Kunder+2017 [2017AJ....153...75K],Ruiz-Dern+2018 [2018A&A...609A.116R],Cruzalèbes+2019 [2019MNRAS.490.3158C],Steinmetz+2020 [2020AJ....160...83S],Eisner+2021 [2021MNRAS.501.4669E],Perdelwitz+2024 [2024A&A...683A.125P]"
304339227,304339227,-,2458673.346,0.24149261,0.0008614063,2459388.035,0.1928184,0.00047564507,275.9438527,-68.34488606,13,39,1673.346,0.00121,714.689,0.0023,0.24149,0.11856,861,5.52569,2.94002,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",yes,93 - nothing there,"100,101,102,103,114",,,High Proper Motion Star,"Ruiz-Dern+2018 [2018A&A...609A.116R],Collaboration+2021 [2021A&A...649A...6G],Eisner+2021 [2021MNRAS.501.4669E]"
308211363,308211363,-,2458580.392,0.2903501378,0.01401826033,2459327.207,0.2890563381,0.01603671511,198.1542101,-17.86909723,10,37,1580.392,0.00039,746.815,0.00049,0.29035,0.04267,14018,83.75529,11.53255,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,19,20,21,22",yes,91 - nothing there,115,,,,
321152953,321152953,-,2458667.496,0.1659447496,0.00919473838,2460142.84,0.1282455544,0.008077083888,347.4036256,-84.44856613,13,67,1667.496,0.00017,1475.344,0.00051,0.16594,0.01936,9195,36.68322,18.18652,"1,2,3,5,6,7,9,10,11,13,14,18,22,26",no,"93,94 - crazy LCs, esp 93",-,,,,
323295479,323295479,-,2458622.93,0.23690921,0.009120166,2459365.442,0.26086265,0.008683602,130.7986487,-83.06100025,11,38,1622.93,0.00011,742.512,0.00018,0.23691,0.01387,9120,14.88836,10.08034,"1,2,3,4,5,6,7,8,9,10,11,12,13",yes,"93,94 - ANOTHER TRANSIT in 93",-,,,High Proper Motion Star,"Ruiz-Dern+2018 [2018A&A...609A.116R],Eisner+2021 [2021MNRAS.501.4669E]"
332657786,332657786,-,2458536.766,0.1244763641,0.03758840488,2459998.98,0.1315262658,0.04099340389,149.991571,-16.15905162,8,61,1536.766,0.0001,1462.214,0.00022,0.12448,0.01795,37588,140.75047,4.63082,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,62,64,66,68,70,72,74,76",yes,-,"99,100,113",,,High Proper Motion Star,"Kirkpatrick+2016 [2016ApJS..224...36K],Collaboration+2021 [2021A&A...649A...6G],Eisner+2021 [2021MNRAS.501.4669E],Hardegree-Ullman+2023 [2023AJ....165..267H]"
332697924,332697924,-,2458445.745,0.20261718,0.0015688539,2459178.205,0.19840766,0.0017139117,63.26120526,-12.45924633,5,32,1445.745,0.00042,732.46,0.00109,0.20262,0.02521,1569,9.14511,4.44682,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28",yes,-,109,,,Star,
354846183,354846183,-,2459044.541,0.3546388967,0.00213586529,2460128.099,0.3703852128,0.002144658959,300.5597101,-39.50655309,27,66,2044.541,0.00083,1083.558,0.0011,0.35464,0.04513,2136,16.99975,13.56285,"1,2,3,4,5,6,7,8,9,10,11,12,14,15,17,18,19,20,21,23,24,27,30,33,38,41",yes,94 - nothing there,105,,,Spectroscopic Binary,Collaboration+2023 [2023A&A...674A..34G]
359683436,359683436,-,2458608.967,0.5696874874,0.001572633496,2459328.245,0.6094727037,0.001921874924,195.6412623,-43.96002307,11,37,1608.967,0.00115,719.278,0.00225,0.56969,0.07476,1573,13.19677,11.70119,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26",yes,-,"101,102,114",,,Star,Perdelwitz+2024 [2024A&A...683A.125P]
385925604,385925604,-,2458559.566,0.0799753,0.0016127825,2459297.005,0.144646,0.0021458466,138.7919476,-54.83232227,9,36,1559.566,0.00156,737.439,0.00289,0.07998,0.13467,1613,6.97108,6.68177,,yes,-,-,,,Star,"Cantat-Gaudin+2018 [2018A&A...615A..49C],Zari+2018 [2018A&A...620A.172Z]"
389724536,389724536,-,2459075.726,0.2923488,0.0043144226,2460169.625,0.30482274,0.0047478145,329.360639,-43.52012002,28,68,2075.726,0.00031,1093.899,0.00045,0.29235,0.01484,4314,18.13761,11.66219,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73",yes,-,"105,106",,,Star,"Bourgés+2014 [2014ASPC..485..223B],Cruzalèbes+2019 [2019MNRAS.490.3158C]"
393229954,393229954,-,2458446.807,0.06283487,0.007886589,2459204.554,0.089917876,0.0065493584,86.74486181,-46.71185546,5,32,1446.807,0.00011,757.747,0.0002,0.06283,0.01445,7887,27.75295,8.43385,"1,2,3,4,5,6,7,8,9,10",yes,-,98,,,Star,"Zwitter+2008 [2008AJ....136..421Z],Siebert+2011 [2011AJ....141..187S],Kordopatis+2013 [2013AJ....146..134K],Francis+2013 [2013MNRAS.436.1343F],Munari+2014 [2014AJ....148...81M],Kunder+2017 [2017AJ....153...75K],Steinmetz+2020 [2020AJ....160...83S]"
396720998,396720998,-,2458399.242,0.2832715324,0.007920726964,2459140.982,0.08004401826,0.008903504635,65.6553246,-54.14717529,3,30,1399.242,0.00098,741.74,0.00142,0.28327,0.03758,7921,181.35615,3.84541,"1,2,3,4,5,6,7,8,9,10,11,12,13,15",yes - can't see transit,-,"97,98",,,Hot Subdwarf,"Bowyer+1995 [1995ApJS...96..461B],Brosch+2000 [2000MNRAS.313..641B],Kilkenny+2015 [2015MNRAS.453.1879K],Geier+2017 [2017A&A...600A..50G],Geier+2019 [2019A&A...621A..38G],Geier+2020 [2020A&A...635A.193G],Van Grootel+2021 [2021A&A...650A.205V],Giacalone+2021 [2021AJ....161...24G],Jeffery+2021 [2021MNRAS.501..623J],Culpan+2022 [2022A&A...662A..40C],Prša+2022 [2022ApJS..258...16P],Turtelboom+2025 [2025AJ....170....3T]"
404031975,404031975,-,2458660.709,0.29710287,0.0068652034,2460135.051,0.2463139,0.0063767964,291.8230791,-49.69811993,13,67,1660.709,0.00054,1474.342,0.0009,0.2971,0.05462,6865,60.21288,5.34896,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,16,17,18,19,20,21,22,24,25,28,29,32,33,36,37,38,40,42,44,48,55,57,59",yes,"94 - think transit, LC weird","104,105",,,High Proper Motion Star,"Luyten+1995 [1995yCat.1098....0L],Salim+2003 [2003ApJ...582.1011S],Collaboration+2021 [2021A&A...649A...6G]"
453029782,453029782,-,2458519.167,0.1867755456,0.003138062669,2459550.109,0.2661762294,0.003251481853,144.3022438,4.971942493,8,45,1519.167,0.00043,1030.942,0.00055,0.18678,0.02578,3138,19.3226,4.28189,"1,2,3,4,5,6,7,8,9,11,12,14,16,21,22,27,28,35",yes,-,-,,,,
322807371,322807371,,2459287.603,0.2573926315,0.01075231472,2460762.075,0.241429105,0.01012207958,173.7147544,-24.60526712,36,90,,,,,,,,,,,,,,NGTS-30 b published,,High Proper Motion Star,"Buder+2018 [2018MNRAS.478.4513B],Buder+2021 [2021MNRAS.506..150B],Battley+2024 [2024A&A...686A.230B],Magliano+2024 [2024MNRAS.528.2851M],Han+2025 [2025ApJ...988L...4H]"
332890033,332890033,,2459168.034,0.3093200137,0.001562812218,2460939.823,0.4291327524,0.0007608932618,34.70297162,-5.813108536,31,97,,,,,,,,,,,,,,"nice, I have 10 HARPS points, no clear detection but we can now check with the period aliases",,High Proper Motion Star,"Ruiz-Dern+2018 [2018A&A...609A.116R],Ting+2019 [2019ApJ...879...69T],Jönsson+2020 [2020AJ....160..120J],Sprague+2022 [2022AJ....163..152S],Abdurro'uf+2022 [2022ApJS..259...35A]"
402710280,402710280,,2459384.61,0.2191502568,0.002189391359,2460838.186,0.2149031954,0.0008192222781,248.5236047,-63.54967989,39,93,,,,,,,,,,,,,,that's the one with a Jupiter at 80 days,,High Proper Motion Star,"Ruiz-Dern+2018 [2018A&A...609A.116R],Collaboration+2021 [2021A&A...649A...6G],Hardegree-Ullman+2023 [2023AJ....165..267H]"
434420527,434420527,,2458525.621,0.4507205444,0.004927217142,2460702.599,0.3737258086,0.002662793934,128.1168401,-19.92542887,8,88,,,,,,,,,,,,,,this one is getting CORALIE vetting,,,
234605163,234605163,,2459209.514,0.3625858788,0.007699667409,2460672.516,0.3871334347,0.004639753474,96.41200912,0.8313505087,33,87,,,,,,,,,,,,,,7 FEROS from Anderson/Moyano,,,
434452008,434452008,,2458539.926,0.413639352,0.002670359474,2460730.003,0.3419830883,0.001772612652,139.7381068,-19.23342635,8,89,,,,,,,,,,,,,,I can vet this,,,
25608554,25608554,,2459994.258,0.1665887915,0.008542258553,2460737.375,0.1662315882,0.007744125525,144.7228689,-30.54339507,62,89,,,,,,,,,,,,,,SB1 from 2 CORALIE observations,,High Proper Motion Star,
443666343,443666343,,2460056.694,0.3378265756,0.008106090504,2460757.322,0.3428841988,0.00859338145,186.8171741,-29.83282962,64,90,,,,,,,,,,,,,,"I am following in collab with CHEOPS GTO programs from Julia Venturini and Hugh Osborn. We have likely solved this with the RVs at 50 days for the giant planet. WINE has RVs too, and we exchange datasets last year.",,High Proper Motion Star,"Kordopatis+2013 [2013AJ....146..134K],Kunder+2017 [2017AJ....153...75K],Steinmetz+2020 [2020AJ....160...83S]"
159614322,159614322,,2458703.831,0.4119729,0.004274428,2459423.53,0.35448852,0.004061381,220.0096549,65.48421462,14,40,,,,,,,,,,,,,,,,Star,Cantat-Gaudin+2018 [2018A&A...615A..49C]
416525826,416525826,,2458706.803,0.18437098,0.0017315149,2459445.162,0.14182317,0.002052784,298.7089914,49.07264895,14,41,,,,,,,,,,,,,,,,Emission-line Star,"Frasca+2016 [2016A&A...594A..39F],Ruiz-Dern+2018 [2018A&A...609A.116R],Zhang+2023 [2023ApJS..264...17Z]"
14630251,14630251,,2458732.755,0.07675284,0.009031534,2459442.42,0.07190052,0.010204315,306.2614529,40.02298961,15,41,,,,,,,,,,,,,,,,,
229476204,229476204,,2458743.517,0.45391968,0.0085526705,2459391.57,0.486793,0.0069883666,295.5459906,60.40364287,16,39,,,,,,,,,,,,,,,,Star,
165501544,165501544,,2458767.177,0.2327892,0.0027824044,2459429.247,0.25317377,0.002570073,265.6429037,58.81987044,17,41,,,,,,,,,,,,,,,,,
27304767,27304767,,2458863.898,0.2268062,0.018748224,2459605.011,0.21659455,0.01836276,126.8736425,44.7377135,20,47,,,,,,,,,,,,,,,,,
453373548,453373548,,2458844.856,0.32226962,0.036859095,2459598.587,0.3303038,0.03688089,113.3327061,48.1560455,19,47,,,,,,,,,,,,,,,,,
142100760,142100760,,2458849.685,0.14129862,0.0027341247,2459413.535,0.12754695,0.003456672,79.92397836,79.08520409,20,40,,,,,,,,,,,,,,,,Star,Harp+2016 [2016AJ....152..181H]
17193496,17193496,,2458872.551,0.10108807,0.08782357,2459630.537,0.0979777,0.085280895,145.5094465,39.93904103,20,48,,,,,,,,,,,,,,,,,
302728777,302728777,,2458877.696,0.21954088,0.004493773,2459633.531,0.15050815,0.0040273666,169.5088689,54.28241078,21,48,,,,,,,,,,,,,,,,Star,"Jönsson+2020 [2020AJ....160..120J],Sprague+2022 [2022AJ....163..152S],Abdurro'uf+2022 [2022ApJS..259...35A]"
207363637,207363637,,2458922.936,0.11894221,0.010001361,2459687.518,0.14441909,0.01101621,208.534099,47.60754152,22,50,,,,,,,,,,,,,,,,,
95768667,95768667,,2458918.371,0.15598112,0.0011658072,2459629.671,0.16225685,0.0007924239,160.5892494,21.77145655,22,48,,,,,,,,,,,,,,,,Emission-line Star,"Ruiz-Dern+2018 [2018A&A...609A.116R],Eisner+2021 [2021MNRAS.501.4669E],Zhang+2023 [2023ApJS..264...17Z]"
115861501,115861501,,2458919.129,0.15313683,0.0031728745,2459615.458,0.14646527,0.0029949348,175.0901268,43.44302466,22,47,,,,,,,,,,,,,,,,High Proper Motion Star,Upgren+1962 [1962AJ.....67...37U]
257024338,257024338,,2458922.486,0.10111937,0.006061971,2459411.07,0.1892989,0.006185293,225.6998706,76.65253491,22,40,,,,,,,,,,,,,,,,,
287137785,287137785,,2458900.981,0.06989339,0.0040174127,2459605.736,0.07500424,0.003301859,252.5585649,65.70217136,21,47,,,,,,,,,,,,,,,,Spectroscopic Binary,"Barclay+2018 [2018ApJS..239....2B],Collaboration+2023 [2023A&A...674A..34G]"
284595117,284595117,,2458924.575,0.14641312,0.011654377,2459657.932,0.15399648,0.013341586,198.7636436,43.55831558,22,49,,,,,,,,,,,,,,,,,
130714841,130714841,,2458954.355,0.67007613,0.014423132,2459562.749,0.52972835,0.011001189,203.1680946,-1.180339911,23,46,,,,,,,,,,,,,,,,,
16982769,16982769,,2458977.885,0.20586969,0.025878847,2459690.868,0.2114397,0.0240225,234.5019396,35.79716026,24,50,,,,,,,,,,,,,,,,,
262880382,262880382,,2458965.062,0.07454639,0.001380682,2459675.292,0.08410021,0.0011747679,225.4632856,41.05427485,24,50,,,,,,,,,,,,,,,,Spectroscopic Binary,"Ting+2019 [2019ApJ...879...69T],Jönsson+2020 [2020AJ....160..120J],Sprague+2022 [2022AJ....163..152S],Abdurro'uf+2022 [2022ApJS..259...35A],Collaboration+2023 [2023A&A...674A..34G]"
157365307,157365307,,2458963.502,0.30988914,0.0064129233,2459700.58,0.27990952,0.0049553714,238.1601051,47.8290576,24,51,,,,,,,,,,,,,,,,Star,"Jönsson+2020 [2020AJ....160..120J],Sprague+2022 [2022AJ....163..152S],Abdurro'uf+2022 [2022ApJS..259...35A]"
39904176,39904176,,2458978.993,0.09173946,0.018245459,2459727.681,0.076183334,0.018980661,245.251132,38.41979507,24,52,,,,,,,,,,,,,,,,,
116261487,116261487,,2459010.474,0.30620983,0.008928835,2459741.343,0.3296562,0.009864648,268.0545159,41.33833777,25,52,,,,,,,,,,,,,,,,Spectroscopic Binary,Collaboration+2023 [2023A&A...674A..34G]
5267885,5267885,,2459012.449,0.12725991,0.04125309,2459763.142,0.13492703,0.038537424,269.8010147,17.37820266,26,53,,,,,,,,,,,,,,,,,
275267824,275267824,,2459020.665,0.28634045,0.0070199966,2459760.66,0.27498108,0.008124113,269.0390747,22.74688784,26,53,,,,,,,,,,,,,,,,Star,
286969201,286969201,,2459018.746,0.07289991,0.0046210885,2459752.106,0.09270719,0.0041031837,268.7673821,14.4683645,26,52,,,,,,,,,,,,,,,,Star,
103095888,103095888,,2459015.816,0.18339689,0.0021458268,2459746.019,0.1708294,0.0018046697,61.13584779,74.53816312,26,52,,,,,,,,,,,,,,,,Star,"Ruiz-Dern+2018 [2018A&A...609A.116R],Cantat-Gaudin+2018 [2018A&A...615A..49C]"
